hour,percentage passengers
1,0.0024
2,0.0024
3,0.0024
4,0.0024
5,0.0073
6,0.0073
7,0.0650
8,0.1070
9,0.0653
10,0.0551
11,0.0522
12,0.0512
13,0.0509
14,0.0531
15,0.0619
16,0.0850
17,0.1083
18,0.0766
19,0.0491
20,0.0347
21,0.0273
22,0.0183
23,0.0073
24,0.0073
